race,sex,priors_count,age_cat,c_charge_degree,two_year_recid
Caucasian,Male,0,25 - 45,M,0
African-American,Male,12,25 - 45,F,1
Caucasian,Female,4,25 - 45,M,0
African-American,Male,1,Less than 25,F,0
African-American,Female,0,25 - 45,M,0
African-American,Male,4,25 - 45,F,0
Caucasian,Male,1,25 - 45,F,0
Caucasian,Female,0,25 - 45,M,0
African-American,Male,18,25 - 45,F,1
African-American,Male,2,25 - 45,F,0
Caucasian,Female,1,25 - 45,M,0
African-American,Female,0,25 - 45,M,0
Caucasian,Female,1,25 - 45,F,0
African-American,Male,2,25 - 45,F,1
African-American,Female,0,25 - 45,M,0
Caucasian,Male,3,25 - 45,M,0
African-American,Female,0,25 - 45,M,0
Caucasian,Female,0,25 - 45,M,0
Caucasian,Male,1,Less than 25,F,1
African-American,Male,0,Less than 25,F,0
African-American,Male,2,Less than 25,M,1
African-American,Male,0,Greater than 45,F,1
African-American,Female,1,25 - 45,F,1
African-American,Male,1,Less than 25,M,0
African-American,Male,3,25 - 45,M,1
African-American,Male,5,Less than 25,F,1
Caucasian,Female,0,Less than 25,M,0
Caucasian,Male,2,25 - 45,F,1
African-American,Female,0,Less than 25,M,1
Caucasian,Male,0,25 - 45,F,1
Caucasian,Female,0,25 - 45,M,1
African-American,Male,12,25 - 45,F,1
African-American,Male,2,25 - 45,F,0
Caucasian,Male,0,Less than 25,M,1
Caucasian,Female,0,25 - 45,M,0
African-American,Male,8,25 - 45,F,1
Caucasian,Female,0,25 - 45,F,0
African-American,Male,4,Greater than 45,F,0
Caucasian,Female,0,25 - 45,M,0
African-American,Male,9,25 - 45,F,1
Caucasian,Male,0,Greater than 45,F,0
African-American,Male,1,Less than 25,M,0
African-American,Female,1,25 - 45,F,0
Caucasian,Male,1,Greater than 45,M,0
African-American,Female,21,Greater than 45,M,1
African-American,Male,12,Greater than 45,F,0
African-American,Male,3,Greater than 45,F,0
Caucasian,Female,2,25 - 45,M,0
Caucasian,Male,13,25 - 45,F,1
African-American,Male,0,Less than 25,F,1
Caucasian,Male,3,Less than 25,F,0
African-American,Male,0,Less than 25,F,0
Caucasian,Male,1,25 - 45,F,0
Caucasian,Female,1,25 - 45,M,0
African-American,Male,5,Greater than 45,F,1
Caucasian,Male,2,25 - 45,F,1
African-American,Male,0,Less than 25,F,1
African-American,Male,6,25 - 45,F,1
African-American,Male,0,25 - 45,F,0
African-American,Male,1,Less than 25,F,1
African-American,Male,3,Less than 25,F,1
Caucasian,Male,1,Less than 25,F,0
African-American,Male,2,Less than 25,F,0
African-American,Female,0,25 - 45,M,0
Caucasian,Female,0,Greater than 45,M,1
African-American,Male,1,25 - 45,F,0
African-American,Male,22,Greater than 45,F,1
African-American,Male,0,25 - 45,F,1
Caucasian,Male,2,25 - 45,F,0
African-American,Male,0,Greater than 45,M,0
Caucasian,Female,3,Less than 25,F,1
Caucasian,Female,9,25 - 45,M,1
Caucasian,Male,0,Less than 25,F,1
Caucasian,Male,3,Greater than 45,M,1
Caucasian,Female,2,25 - 45,F,1
African-American,Male,8,25 - 45,F,1
African-American,Male,0,Less than 25,M,1
African-American,Female,4,25 - 45,F,0
Caucasian,Male,0,25 - 45,F,1
Caucasian,Male,7,25 - 45,F,1
Caucasian,Male,1,25 - 45,F,1
African-American,Female,0,25 - 45,M,0
Caucasian,Male,3,Greater than 45,M,0
Caucasian,Male,0,Less than 25,F,1
African-American,Male,5,25 - 45,F,0
African-American,Male,0,25 - 45,F,0
African-American,Male,6,25 - 45,M,1
African-American,Female,1,Less than 25,M,0
Caucasian,Male,11,25 - 45,F,0
African-American,Male,2,Greater than 45,F,0
Caucasian,Male,0,Less than 25,F,0
African-American,Female,2,25 - 45,F,0
Caucasian,Male,1,Greater than 45,F,1
African-American,Male,17,25 - 45,F,1
Caucasian,Female,1,Greater than 45,M,0
Caucasian,Male,0,25 - 45,F,0
African-American,Male,17,Greater than 45,F,1
African-American,Female,0,25 - 45,M,0
Caucasian,Male,3,25 - 45,M,1
African-American,Male,1,Less than 25,F,1
African-American,Male,0,25 - 45,F,0
African-American,Male,2,25 - 45,M,0
African-American,Male,4,Greater than 45,F,0
Caucasian,Male,0,25 - 45,M,0
African-American,Male,1,25 - 45,F,1
African-American,Female,0,Less than 25,F,0
African-American,Female,1,Less than 25,F,0
African-American,Male,21,25 - 45,F,1
African-American,Male,18,25 - 45,F,1
African-American,Female,1,Greater than 45,F,0
African-American,Male,9,25 - 45,F,1
African-American,Male,1,Less than 25,F,0
African-American,Female,0,25 - 45,F,1
African-American,Male,10,25 - 45,M,0
African-American,Male,1,25 - 45,F,0
African-American,Male,0,25 - 45,F,0
African-American,Male,2,Less than 25,F,1
Caucasian,Male,1,25 - 45,F,1
African-American,Male,1,25 - 45,M,1
Caucasian,Male,0,25 - 45,F,0
African-American,Male,0,25 - 45,M,0
Caucasian,Male,3,Less than 25,F,1
African-American,Female,0,25 - 45,F,0
Caucasian,Male,1,Less than 25,F,1
African-American,Male,1,Less than 25,F,1
Caucasian,Female,0,25 - 45,F,0
Caucasian,Male,2,Greater than 45,F,0
African-American,Female,1,Greater than 45,F,1
African-American,Female,4,Less than 25,F,1
Caucasian,Female,0,25 - 45,M,0
African-American,Male,2,Less than 25,F,1
African-American,Female,4,25 - 45,F,1
African-American,Male,0,25 - 45,F,0
Caucasian,Male,1,25 - 45,M,1
Caucasian,Male,3,Greater than 45,F,0
African-American,Male,0,Less than 25,F,0
African-American,Male,2,Less than 25,F,1
African-American,Male,3,25 - 45,F,1
African-American,Female,0,25 - 45,F,0
African-American,Male,0,25 - 45,M,1
Caucasian,Female,2,Greater than 45,F,0
Caucasian,Male,0,Less than 25,M,0
African-American,Male,10,25 - 45,F,1
African-American,Male,5,25 - 45,F,1
African-American,Male,4,Less than 25,F,1
Caucasian,Male,0,25 - 45,M,0
Caucasian,Male,1,25 - 45,M,0
African-American,Female,13,25 - 45,F,1
Caucasian,Male,0,25 - 45,F,1
African-American,Male,4,Greater than 45,M,0
Caucasian,Male,0,25 - 45,F,1
African-American,Male,3,Greater than 45,M,0
African-American,Male,2,25 - 45,F,1
African-American,Female,0,Less than 25,M,1
African-American,Male,2,25 - 45,M,1
African-American,Male,0,Less than 25,F,0
African-American,Male,20,Greater than 45,M,1
Caucasian,Male,2,Less than 25,F,0
African-American,Male,2,25 - 45,F,0
Caucasian,Female,2,25 - 45,F,1
African-American,Female,6,25 - 45,F,0
African-American,Male,12,Greater than 45,M,1
African-American,Male,1,Less than 25,F,1
African-American,Male,4,Greater than 45,F,1
African-American,Male,8,Greater than 45,M,0
African-American,Male,0,25 - 45,F,0
Caucasian,Male,0,Less than 25,F,0
Caucasian,Male,0,25 - 45,F,1
African-American,Male,0,25 - 45,M,1
Caucasian,Male,2,25 - 45,F,0
Caucasian,Male,2,25 - 45,F,0
African-American,Female,0,25 - 45,M,1
African-American,Male,7,25 - 45,F,0
African-American,Male,0,Greater than 45,M,1
Caucasian,Male,5,25 - 45,F,1
African-American,Male,16,25 - 45,M,1
Caucasian,Female,1,Greater than 45,M,0
African-American,Male,2,Less than 25,F,0
Caucasian,Male,2,25 - 45,F,1
African-American,Male,6,25 - 45,F,1
Caucasian,Female,3,25 - 45,F,1
Caucasian,Male,0,Less than 25,F,0
African-American,Male,0,Less than 25,F,1
African-American,Male,10,25 - 45,F,1
African-American,Male,0,25 - 45,F,0
African-American,Male,1,25 - 45,F,0
Caucasian,Male,7,25 - 45,F,1
African-American,Male,0,25 - 45,M,1
African-American,Male,1,Greater than 45,F,0
Caucasian,Male,3,Greater than 45,F,0
African-American,Male,0,25 - 45,F,0
Caucasian,Male,0,Greater than 45,M,0
Caucasian,Male,2,25 - 45,F,0
African-American,Male,1,Less than 25,M,0
African-American,Female,9,25 - 45,F,0
Caucasian,Male,0,Less than 25,M,1
African-American,Male,5,Greater than 45,M,1
African-American,Male,6,25 - 45,M,1
Caucasian,Male,2,Less than 25,F,1
Caucasian,Male,2,25 - 45,F,0
African-American,Male,2,Less than 25,F,0
African-American,Male,4,25 - 45,M,1
Caucasian,Female,4,Less than 25,M,1
Caucasian,Female,0,25 - 45,M,1
African-American,Male,8,25 - 45,F,1
African-American,Male,29,Greater than 45,F,1
Caucasian,Male,3,25 - 45,F,0
Caucasian,Female,0,Greater than 45,M,0
Caucasian,Female,0,Less than 25,F,0
African-American,Male,13,Greater than 45,M,1
Caucasian,Male,2,25 - 45,F,0
African-American,Male,1,Less than 25,F,0
African-American,Male,8,25 - 45,F,0
African-American,Male,3,Less than 25,F,1
African-American,Male,2,25 - 45,F,0
African-American,Male,11,25 - 45,M,1
Caucasian,Female,0,Less than 25,F,0
Caucasian,Male,4,Greater than 45,M,1
African-American,Male,15,25 - 45,F,1
African-American,Male,10,25 - 45,F,1
African-American,Male,15,25 - 45,M,1
Caucasian,Male,0,Greater than 45,F,0
Caucasian,Male,1,25 - 45,F,0
Caucasian,Male,3,Greater than 45,M,1
African-American,Male,10,Greater than 45,M,1
African-American,Male,0,Less than 25,F,1
African-American,Male,9,25 - 45,F,0
Caucasian,Male,0,Greater than 45,F,0
African-American,Male,3,Less than 25,M,0
Caucasian,Male,2,Greater than 45,F,1
African-American,Male,0,25 - 45,M,1
Caucasian,Male,4,25 - 45,M,1
African-American,Female,5,25 - 45,F,0
Caucasian,Female,0,Greater than 45,M,0
Caucasian,Male,4,25 - 45,F,1
African-American,Male,7,25 - 45,F,1
Caucasian,Male,3,Greater than 45,F,0
African-American,Male,3,25 - 45,F,1
African-American,Female,0,25 - 45,F,0
African-American,Female,0,25 - 45,M,1
Caucasian,Male,1,25 - 45,F,0
African-American,Male,1,Greater than 45,F,0
African-American,Male,3,25 - 45,M,0
African-American,Male,1,25 - 45,F,1
Caucasian,Male,1,Less than 25,F,0
African-American,Female,0,Less than 25,M,1
African-American,Male,5,25 - 45,F,1
African-American,Male,0,Less than 25,M,0
Caucasian,Male,1,Greater than 45,M,0
African-American,Male,4,Greater than 45,F,0
Caucasian,Male,2,25 - 45,F,1
African-American,Male,5,Less than 25,F,1
African-American,Male,3,Greater than 45,F,1
African-American,Male,6,25 - 45,M,1
Caucasian,Male,1,Greater than 45,F,0
African-American,Female,1,25 - 45,F,0
African-American,Female,2,25 - 45,M,0
Caucasian,Male,0,Less than 25,F,0
Caucasian,Male,2,25 - 45,F,0
African-American,Female,3,Less than 25,F,0
Caucasian,Male,1,25 - 45,F,0
African-American,Male,7,25 - 45,F,1
African-American,Male,14,25 - 45,F,0
African-American,Male,2,25 - 45,F,1
Caucasian,Female,1,25 - 45,F,0
African-American,Male,16,25 - 45,M,1
African-American,Male,1,25 - 45,M,0
Caucasian,Male,0,Less than 25,M,1
African-American,Male,3,25 - 45,M,1
African-American,Male,6,Greater than 45,F,0
Caucasian,Male,0,25 - 45,F,0
African-American,Male,1,Less than 25,F,1
African-American,Male,1,25 - 45,F,0
African-American,Male,1,Less than 25,F,0
African-American,Male,2,25 - 45,F,0
African-American,Male,0,Greater than 45,F,0
Caucasian,Male,3,25 - 45,M,0
Caucasian,Male,0,25 - 45,F,1
African-American,Male,1,25 - 45,F,0
African-American,Male,7,25 - 45,M,1
African-American,Female,7,25 - 45,M,1
African-American,Male,7,25 - 45,F,1
Caucasian,Male,7,25 - 45,F,0
African-American,Male,0,25 - 45,M,0
African-American,Male,3,25 - 45,F,0
Caucasian,Female,5,25 - 45,F,1
African-American,Male,3,Greater than 45,F,0
African-American,Male,1,Less than 25,F,1
African-American,Male,7,25 - 45,F,1
Caucasian,Male,6,25 - 45,F,1
Caucasian,Male,3,Greater than 45,F,0
Caucasian,Male,4,25 - 45,F,1
African-American,Male,3,25 - 45,M,0
African-American,Male,12,25 - 45,F,1
Caucasian,Male,1,Less than 25,F,0
Caucasian,Male,3,25 - 45,M,0
Caucasian,Female,0,Greater than 45,M,0
African-American,Male,4,25 - 45,M,0
African-American,Male,2,Less than 25,F,1
African-American,Female,0,Less than 25,M,0
African-American,Male,2,25 - 45,M,1
African-American,Male,5,25 - 45,M,1
Caucasian,Male,2,Less than 25,F,0
African-American,Female,2,Less than 25,F,1
African-American,Female,1,25 - 45,F,0
African-American,Male,9,Greater than 45,F,0
African-American,Female,3,25 - 45,F,1
African-American,Male,7,25 - 45,M,1
Caucasian,Male,0,Less than 25,F,1
African-American,Male,4,25 - 45,M,1
Caucasian,Male,1,Less than 25,F,1
African-American,Male,8,25 - 45,F,1
Caucasian,Male,5,25 - 45,M,0
Caucasian,Male,3,Greater than 45,F,0
Caucasian,Female,5,25 - 45,M,1
African-American,Male,13,Greater than 45,M,0
Caucasian,Male,0,Less than 25,F,0
African-American,Male,29,25 - 45,F,0
Caucasian,Female,0,Greater than 45,M,0
Caucasian,Female,0,Greater than 45,M,0
African-American,Male,16,Greater than 45,F,0
Caucasian,Female,0,25 - 45,M,0
Caucasian,Male,4,Greater than 45,M,0
African-American,Female,5,Less than 25,F,1
African-American,Male,1,25 - 45,M,1
African-American,Male,19,25 - 45,M,1
Caucasian,Male,0,25 - 45,M,0
African-American,Female,3,25 - 45,M,0
Caucasian,Male,2,25 - 45,F,0
African-American,Male,3,Less than 25,F,1
Caucasian,Male,2,25 - 45,F,0
African-American,Male,3,25 - 45,F,1
African-American,Male,20,25 - 45,F,1
African-American,Male,2,25 - 45,F,0
African-American,Female,13,25 - 45,F,0
African-American,Male,19,25 - 45,M,0
African-American,Female,1,25 - 45,F,0
African-American,Male,9,25 - 45,F,1
Caucasian,Male,1,Less than 25,F,0
African-American,Male,2,25 - 45,F,1
African-American,Male,24,25 - 45,F,1
Caucasian,Male,0,25 - 45,F,0
Caucasian,Male,3,Greater than 45,F,1
Caucasian,Male,5,25 - 45,F,0
Caucasian,Male,6,25 - 45,F,1
African-American,Male,2,Less than 25,M,1
African-American,Male,2,25 - 45,F,0
African-American,Male,3,25 - 45,F,0
Caucasian,Male,2,25 - 45,M,1
Caucasian,Male,3,Less than 25,F,1
African-American,Male,0,25 - 45,F,0
African-American,Male,19,25 - 45,F,1
Caucasian,Male,0,25 - 45,F,0
African-American,Male,3,Less than 25,F,0
African-American,Male,0,25 - 45,M,0
African-American,Male,6,25 - 45,F,1
African-American,Female,3,25 - 45,F,1
Caucasian,Female,0,25 - 45,F,1
African-American,Male,24,25 - 45,F,1
African-American,Male,2,Less than 25,F,1
African-American,Male,4,Less than 25,F,1
African-American,Male,1,25 - 45,M,1
Caucasian,Female,0,25 - 45,F,1
African-American,Male,0,25 - 45,M,1
Caucasian,Male,0,25 - 45,F,1
Caucasian,Male,0,25 - 45,F,0
African-American,Male,2,25 - 45,F,1
African-American,Male,1,Less than 25,F,1
African-American,Female,0,25 - 45,F,0
African-American,Male,0,25 - 45,M,0
Caucasian,Female,4,Greater than 45,M,0
Caucasian,Female,2,25 - 45,M,0
Caucasian,Male,1,Less than 25,F,0
Caucasian,Female,2,Less than 25,F,0
African-American,Female,11,Less than 25,M,1
Caucasian,Male,3,25 - 45,F,0
African-American,Female,1,25 - 45,M,0
African-American,Male,4,25 - 45,F,1
African-American,Male,8,Greater than 45,M,0
African-American,Male,15,25 - 45,F,1
African-American,Male,2,Less than 25,M,1
African-American,Male,3,25 - 45,M,1
African-American,Female,0,25 - 45,F,0
African-American,Male,5,25 - 45,F,1
Caucasian,Male,2,Less than 25,F,1
African-American,Male,1,Less than 25,F,0
Caucasian,Male,1,Greater than 45,F,1
African-American,Male,2,Less than 25,F,1
Caucasian,Male,12,25 - 45,F,0
African-American,Male,0,Less than 25,F,1
African-American,Male,2,Greater than 45,F,0
African-American,Male,0,Less than 25,M,1
Caucasian,Male,1,25 - 45,F,0
African-American,Male,17,25 - 45,F,1
African-American,Female,2,25 - 45,M,0
Caucasian,Male,4,25 - 45,M,1
African-American,Male,6,25 - 45,F,1
Caucasian,Female,9,Less than 25,M,1
African-American,Male,1,Less than 25,F,1
African-American,Female,3,25 - 45,F,1
Caucasian,Male,1,Greater than 45,F,0
African-American,Male,5,25 - 45,M,0
Caucasian,Male,0,25 - 45,F,1
African-American,Male,3,Less than 25,F,1
Caucasian,Female,0,Greater than 45,F,0
African-American,Male,1,Less than 25,F,0
Caucasian,Male,0,25 - 45,F,1
Caucasian,Male,0,25 - 45,M,0
African-American,Male,1,Less than 25,F,0
African-American,Male,0,Greater than 45,F,1
African-American,Male,0,25 - 45,F,0
African-American,Male,0,Less than 25,F,0
African-American,Male,5,25 - 45,F,0
African-American,Male,8,25 - 45,M,0
Caucasian,Male,0,Less than 25,M,1
Caucasian,Male,2,25 - 45,F,0
African-American,Male,1,Less than 25,F,0
African-American,Female,0,25 - 45,F,0
Caucasian,Female,20,25 - 45,F,1
African-American,Male,1,25 - 45,F,1
African-American,Male,5,25 - 45,F,0
African-American,Female,1,25 - 45,M,0
African-American,Male,1,Less than 25,F,0
Caucasian,Male,0,Greater than 45,F,0
African-American,Female,0,Less than 25,M,0
African-American,Female,0,25 - 45,F,0
African-American,Male,13,25 - 45,F,1
African-American,Male,13,25 - 45,M,1
Caucasian,Male,1,Greater than 45,M,0
African-American,Male,1,25 - 45,M,1
African-American,Male,0,Less than 25,F,0
African-American,Male,5,25 - 45,F,1
African-American,Male,10,25 - 45,F,1
Caucasian,Male,3,Greater than 45,M,1
African-American,Male,2,Less than 25,F,1
Caucasian,Male,0,Less than 25,F,0
Caucasian,Male,0,25 - 45,M,0
Caucasian,Male,2,25 - 45,F,1
African-American,Male,4,25 - 45,F,1
Caucasian,Male,0,Greater than 45,M,0
Caucasian,Male,1,Greater than 45,M,0
African-American,Male,6,Greater than 45,M,0
African-American,Male,1,Less than 25,F,0
African-American,Male,4,25 - 45,F,1
Caucasian,Male,0,Less than 25,F,0
Caucasian,Male,2,25 - 45,F,0
Caucasian,Male,0,Less than 25,F,1
African-American,Male,3,25 - 45,M,1
African-American,Female,8,25 - 45,F,1
Caucasian,Male,1,25 - 45,F,0
African-American,Male,0,Less than 25,F,1
African-American,Female,1,25 - 45,M,0
African-American,Female,0,Less than 25,F,1
Caucasian,Male,4,Greater than 45,M,0
Caucasian,Male,0,Less than 25,F,0
African-American,Male,0,Less than 25,F,1
Caucasian,Male,1,25 - 45,M,0
African-American,Female,1,25 - 45,F,0
Caucasian,Male,11,25 - 45,F,1
African-American,Male,1,25 - 45,F,0
African-American,Male,0,25 - 45,F,0
African-American,Male,0,Less than 25,F,1
African-American,Male,1,Less than 25,F,1
Caucasian,Male,3,25 - 45,F,0
African-American,Male,1,Less than 25,F,1
African-American,Male,0,25 - 45,M,1
African-American,Female,0,25 - 45,M,0
African-American,Male,1,25 - 45,F,0
Caucasian,Female,0,Less than 25,M,0
African-American,Male,7,25 - 45,F,1
African-American,Male,1,25 - 45,F,1
Caucasian,Male,2,25 - 45,F,0
Caucasian,Male,0,Less than 25,M,1
African-American,Female,9,25 - 45,M,0
African-American,Male,3,25 - 45,F,1
Caucasian,Male,1,25 - 45,F,1
African-American,Male,1,25 - 45,F,1
Caucasian,Male,1,25 - 45,F,0
African-American,Female,1,Greater than 45,F,0
African-American,Male,6,25 - 45,F,1
Caucasian,Male,5,Greater than 45,M,0
African-American,Female,11,Greater than 45,F,1
Caucasian,Male,3,Less than 25,F,0
Caucasian,Male,2,Less than 25,M,0
Caucasian,Female,0,Greater than 45,F,0
African-American,Male,0,25 - 45,F,0
African-American,Male,0,Less than 25,M,1
Caucasian,Female,0,Greater than 45,M,0
Caucasian,Male,0,Less than 25,M,0
Caucasian,Male,8,25 - 45,F,0
Caucasian,Male,3,25 - 45,F,1
Caucasian,Male,10,25 - 45,F,0
African-American,Male,1,25 - 45,F,0
Caucasian,Female,1,25 - 45,M,0
Caucasian,Male,3,25 - 45,F,0
African-American,Female,3,25 - 45,M,0
African-American,Female,3,Less than 25,M,0
African-American,Male,0,25 - 45,F,0
African-American,Male,0,25 - 45,F,0
Caucasian,Male,9,Greater than 45,M,1
African-American,Male,16,25 - 45,F,1
Caucasian,Female,1,Greater than 45,M,0
African-American,Male,1,25 - 45,F,1
African-American,Female,2,25 - 45,M,0
Caucasian,Female,2,Greater than 45,F,1
African-American,Male,0,25 - 45,M,1
African-American,Male,6,25 - 45,M,1
African-American,Male,2,25 - 45,F,1
African-American,Male,4,Less than 25,F,1
African-American,Male,6,25 - 45,F,0
African-American,Male,11,25 - 45,F,1
Caucasian,Male,0,Greater than 45,M,0
African-American,Male,1,Greater than 45,M,1
Caucasian,Male,11,25 - 45,M,1
African-American,Female,1,Less than 25,F,0
Caucasian,Male,26,Greater than 45,F,1
Caucasian,Male,2,Greater than 45,M,1
African-American,Male,0,25 - 45,F,0
African-American,Male,1,Greater than 45,F,0
African-American,Male,3,Less than 25,F,1
Caucasian,Male,16,25 - 45,F,1
Caucasian,Male,0,Less than 25,F,1
African-American,Male,0,25 - 45,F,0
Caucasian,Male,0,Greater than 45,M,0
African-American,Female,0,25 - 45,M,0
African-American,Male,0,25 - 45,F,0
Caucasian,Male,1,25 - 45,F,1
African-American,Male,18,Greater than 45,F,0
African-American,Male,4,Less than 25,F,0
African-American,Male,0,Greater than 45,F,1
African-American,Male,2,Greater than 45,F,0
African-American,Male,0,Less than 25,M,0
African-American,Male,3,Greater than 45,F,1
Caucasian,Male,1,25 - 45,F,1
African-American,Male,8,25 - 45,F,1
African-American,Male,7,Less than 25,F,1
African-American,Male,1,25 - 45,F,0
Caucasian,Male,1,25 - 45,F,0
African-American,Male,0,Less than 25,F,0
Caucasian,Female,28,Greater than 45,F,1
